from 2.1
.rdata:00000001431305B8	0000002B	C - UTF-8	E:\\R6.Release\\bin\\x64.Final\\cpLauncher.pdb
.rdata:0000000142F8E0C0	00000045	C	E:\\R6.Release\\dev\\src\\common\\redMemory\\src\\locklessSlabAllocator.cpp
.rdata:00000001430A20C0	0000003F	C	E:\\R6.Release\\dev\\src\\common\\redMemory\\src\\oomHandlerBreak.cpp
.rdata:00000001430A2010	00000045	C	E:\\R6.Release\\dev\\src\\common\\redMemory\\src\\systemOOMHandlerBreak.cpp
.rdata:00000001430A1F58	0000003E	C	E:\\R6.Release\\dev\\src\\common\\redMemory\\src\\wwiseAllocator.cpp
.rdata:0000000142F91760	00000040	C	E:\\R6.Release\\dev\\src\\common\\redReflection\\src\\resourceBank.cpp
.rdata:0000000142F8FC10	00000041	C	E:\\R6.Release\\dev\\src\\common\\redReflection\\src\\resourceToken.cpp
.rdata:0000000142F91D20	0000004D	C	E:\\R6.Release\\dev\\src\\common\\redReflection\\src\\serializationBinaryLoader.cpp
.rdata:000000014307AF70	00000035	C	E:\\R6.Release\\dev\\src\\common\\renderer\\src\\binkIO.cpp
.rdata:000000014307AD40	00000045	C	E:\\R6.Release\\dev\\src\\common\\renderer\\src\\renderFlowInternalData.cpp
.rdata:0000000143071FF8	0000003E	C	E:\\R6.Release\\dev\\src\\common\\renderer\\src\\renderInterface.cpp
.rdata:0000000143116C70	00000040	C	E:\\R6.Release\\dev\\src\\common\\renderer\\src\\renderVideoPlayer.cpp
.rdata:0000000142F931C8	0000003D	C	E:\\R6.Release\\dev\\src\\common\\replication\\include\\repMemPtr.h
.rdata:00000001430A5DD0	0000003F	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRemotePeer.cpp
.rdata:00000001430A7770	00000048	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiArrayReaderWriter.h
.rdata:00000001430A7850	00000042	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiArrayType.cpp
.rdata:00000001430A7980	00000040	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiArrayType.h
.rdata:00000001430A80F0	0000004B	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiBaseInlinedPtrType.cpp
.rdata:00000001430A8430	00000047	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiBaseRefPtrType.cpp
.rdata:00000001430A7B30	00000041	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiBoolType.cpp
.rdata:00000001430A74F0	0000003E	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiClass.cpp
.rdata:00000001430A8070	00000055	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiClass_BackwardsCompatibility.cpp
.rdata:00000001430A7190	00000041	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiEnumType.cpp
.rdata:00000001430A7138	0000003F	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiEnumType.h
.rdata:00000001430A6F30	00000042	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiFloatType.cpp
.rdata:0000000142F936E0	00000041	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiFunction.cpp
.rdata:00000001430A5FB0	00000042	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiIntegerType.h
.rdata:0000000142F93730	00000041	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiProperty.cpp
.rdata:00000001430A7CD0	00000049	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiResourcePathType.cpp
.rdata:00000001430A72C0	00000043	C	E:\\R6.Release\\dev\\src\\common\\replication\\src\\repRttiStringType.cpp
.rdata:0000000143083C40	00000040	C	E:\\R6.Release\\dev\\src\\common\\resource\\src\\resourceGameDepot.cpp
.rdata:00000001430838B0	0000004B	C	E:\\R6.Release\\dev\\src\\common\\resource\\src\\serializationAsyncSourceImpl.cpp
.rdata:0000000143086330	00000049	C	E:\\R6.Release\\dev\\src\\common\\soundEngine\\src\\wwiseContainerStreaming.cpp
.rdata:00000001430C0480	00000053	C	E:\\R6.Release\\dev\\src\\common\\worldEntities\\src\\netWeakComponentHandleReplication.h
.rdata:00000001430C0620	00000050	C	E:\\R6.Release\\dev\\src\\common\\worldEntities\\src\\netWeakEntityHandleReplication.h
.rdata:0000000142FFA5F0	0000004C	C	E:\\R6.Release\\dev\\src\\common\\worldEntities\\src\\runtimeSystemDestruction.cpp
.rdata:0000000142FC7040	00000047	C	E:\\R6.Release\\dev\\src\\common\\world\\src\\runtimeSystemWorldStreaming.cpp
.rdata:00000001430BB350	00000040	C	E:\\R6.Release\\dev\\src\\common\\world\\src\\worldStreamingTester.cpp
